ego,n_nodes,n_labelled,n_circles,lou_k,lei_k,lou_Q,lei_Q,lou_nmi,lou_ari,lei_nmi,lei_ari
16606585,104,99,2,5,5,0.28584468806721497,0.28663030339778633,0.12021995952200833,0.11069279315875634,0.1239902820350672,0.11243294850696585
16610683,97,17,3,5,6,0.5102929295134946,0.507541597519434,0.3910859037700788,0.18738049713193108,0.2762722987426338,-0.052532833020637736
166214735,237,95,10,5,4,0.19338953128885686,0.1933309663079155,0.23674513517174964,0.2745025581945097,0.23236828615007674,0.27248087694994855
166252256,95,11,2,4,4,0.30745467341524463,0.3074546734152446,0.6145586324411475,0.637203166226913,0.6145586324411475,0.637203166226913
16652550,129,70,5,5,6,0.30509406073636114,0.3063124832034399,0.45541780557104544,0.4577961363541537,0.4685535576346618,0.46941874913709786
16685316,146,18,2,4,4,0.2990402564726889,0.3081787192598004,0.7651880429763744,0.7874999999999996,0.6924530559790876,0.7734123181461797
16734718,127,19,3,7,7,0.19532755190418966,0.18965577158771196,0.08617141264905917,-0.1084953940634594,0.16643944451731488,0.03455547241684233
16790036,185,15,2,4,4,0.33327067436739205,0.3354520958285182,0.6992325056505622,0.5364238410596025,0.7664117023009642,0.7116968698517298
16809036,215,211,8,6,7,0.14788377864740337,0.15665308849988788,0.3027812402815976,0.203182939927833,0.35915919760270637,0.22696331541499798
168224294,191,32,17,5,5,0.206686205913857,0.19543995243757428,0.2894022642506836,0.04343451282911302,0.3360679251866855,0.09442934782608699
16834201,94,51,6,6,7,0.4831031461774332,0.4858151459712953,0.7595212921752941,0.7299444003177125,0.8106195760345928,0.8157453936348407
168537920,83,27,2,3,3,0.25310474613271106,0.25383266212503297,0.9158751208431891,0.9596054254007398,1.0,1.0
16878507,124,20,3,3,3,0.3672427274576615,0.3673794054823781,0.661961594968377,0.6837900809941189,0.661961594968377,0.6837900809941189
169216507,211,39,3,4,4,0.17941588690698768,0.17986322950431585,0.23068400323186114,0.10499596769697883,0.23068400323186114,0.10499596769697883
169780164,230,39,4,7,7,0.20354058540438683,0.20910796258462402,0.5300344252392989,0.337166244396804,0.49935988573111306,0.3996557988335406
16987303,193,121,3,5,5,0.1460384095763677,0.14943192955506143,0.08127124710088869,0.04287918410677793,0.11351327381260662,0.04906732358158765
17022544,76,33,2,4,4,0.3185503201522681,0.3219250905397258,0.687745499108843,0.7262357414448674,0.6690657296918309,0.6917754907895877
17045060,177,84,4,3,3,0.35009818464363907,0.35009818464363907,0.8020505143100847,0.8153898681290414,0.8020505143100847,0.8153898681290414
170729553,247,21,4,3,4,0.25596258254646015,0.25560156728405786,0.1520255747256915,0.06660081839988728,0.22610775996944185,0.10189075630252138
17111909,228,64,2,5,4,0.22180659403728425,0.22052253261859917,0.04820193858539114,-0.005839565053085843,0.02025890376059838,-0.006253514015903538
171202083,173,40,2,4,4,0.17003388571539357,0.1728552357560923,0.1822692727779143,0.17231940973461837,0.30689800051264876,0.34504287351325724
171536167,93,83,11,7,8,0.5868563230670615,0.5952046640822929,0.3531579380515725,0.21494788946663335,0.3974807185221522,0.2927612176079594
17396702,119,81,2,4,3,0.060676740031382244,0.06321095196997159,0.08257965983840194,-0.041369291985094654,0.04178506827790042,-0.004697126822424335
17403755,191,63,3,6,7,0.45430472526715177,0.45912952260418227,0.6102329766563087,0.589591527050881,0.5980901569661302,0.5637421231216676
